Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
0,0.0,0.2659276240034674,0.3217003228379781,0.26502500235871307,0.7637362637362637,0.5052219321148823
0,0.03703703703703809,0.2597605986253839,0.3284345544838866,0.24502311538824417,0.7670329670329674,0.6174934725848567
0,0.07407407407407618,0.27695849096069963,0.3410482693716374,0.23653174827813944,0.7835164835164834,0.5326370757180157
0,0.11111111111111427,0.28444544207074146,0.35212788380006715,0.25181620907632796,0.7912087912087911,0.5078328981723232
0,0.14814814814815236,0.273893063693134,0.3389583354125624,0.21068025285404285,0.7763736263736263,0.537859007832898
0,0.18518518518519045,0.2814385082234928,0.3739523773715192,0.23445608076233604,0.7802197802197801,0.6070496083550911
0,0.22222222222222854,0.29676089067910444,0.3664486251248402,0.2935182564392867,0.7854395604395608,0.5156657963446474
0,0.25925925925926663,0.2984551329629852,0.33797512771077526,0.33063496556278893,1.0,0.6409921671018277
0,0.2962962962962905,0.31097851224569056,0.28664946234349087,0.2766676101519011,0.41978021978021984,0.8759791122715401
0,0.3333333333333286,0.26275058384907785,0.311253123413713,0.2027172374752335,0.39972527472527464,0.915143603133159
0,0.3703703703703667,0.24878843177899984,0.37610654097945473,0.24241909614114537,0.45219780219780215,0.9412532637075715
0,0.4074074074074048,0.27031194355033566,0.3802197088776343,0.16501556750636853,0.7318681318681319,0.9412532637075715
0,0.44444444444444287,0.28289981027876143,0.3393684170168253,0.09208415888291348,0.6950549450549453,0.6018276762402088
0,0.48148148148148096,0.3119249481878511,0.31824180328395324,0.05358996131710539,0.7307692307692308,0.5926892950391642
0,0.518518518518519,0.31291292892677386,0.3675602921243482,0.22483253137088405,0.75,0.5469973890339421
0,0.5555555555555571,0.2809645668355535,0.3285185471016272,0.19773563543730543,0.6675824175824174,0.6279373368146213
0,0.5925925925925952,0.30805797504046484,0.3659026731095263,0.25559015001415225,0.6730769230769234,0.6148825065274148
0,0.6296296296296333,0.3608403292910866,0.3571402667822932,0.3327672421926597,0.7472527472527473,0.6409921671018277
0,0.6666666666666714,0.3575795794715791,0.39222571247232074,0.1972827625247665,0.6923076923076925,0.6409921671018277
0,0.7037037037037095,0.31819077163982684,0.40101652806731897,0.16520426455325976,0.6978021978021975,0.6148825065274148
0,0.7407407407407476,0.4729302578609059,0.4397766507834979,0.2643834323992829,0.7280219780219781,0.6279373368146213
0,0.7777777777777857,0.36731470348899814,0.38660685338258527,0.38530050004717425,0.662087912087912,0.6409921671018277
0,0.8148148148148096,0.39560609001248614,0.49150251627060526,0.25521275592036985,0.7087912087912089,0.6409921671018277
0,0.8518518518518476,0.44186632455249947,0.2839999893279968,0.1648268704594773,0.7999999999999998,0.6436031331592691
0,0.8888888888888857,0.5034948268460409,0.28574901207388936,0.3176526087366733,0.8618131868131869,0.5639686684073109
0,0.9259259259259238,0.3532463000844744,0.32902099588169376,0.2274365506179828,0.8181318681318683,0.5600522193211486
0,0.9629629629629619,0.3454831401500284,0.30493077674297775,0.3224643834323993,0.8159340659340661,0.5822454308093992
0,1.0,0.3758934146536559,0.31463556788940483,0.2635531653929616,0.7313186813186814,0.42036553524804177
7,0.0,0.5942795088454246,0.8540405933357095,0.4390791584111709,0.813186813186813,0.5561357702349867
7,0.03703703703703809,0.6277236903106165,0.900934412931622,0.3668270591565242,0.8129120879120881,0.5496083550913835
7,0.07407407407407618,0.6390034126673598,0.9042064194668405,0.508463062553071,0.7549450549450554,0.5731070496083546
7,0.11111111111111427,0.6394637124802429,0.897867447198535,0.39701858665911877,0.7447802197802198,0.5404699738903389
7,0.14814814814815236,0.6550580996748551,0.9071239277477715,0.3099348995188225,0.7585164835164835,0.5496083550913835
7,0.18518518518519045,0.6775545037763393,0.9394907300312244,0.42917256344938204,0.805769230769231,0.6488250652741514
7,0.22222222222222854,0.7045030219189107,0.9578665855330918,0.5405792999339561,0.8340659340659342,0.5561357702349867
7,0.25925925925926663,0.717487941157686,0.9689634925592917,0.20133974903292762,0.7895604395604394,0.719321148825065
7,0.2962962962962905,0.6714501056291958,0.9125624497464757,0.6364373997546939,0.5104395604395604,0.7624020887728458
7,0.3333333333333286,0.6428834073182089,0.8671236787343637,0.3250117935654307,0.49752747252747254,0.817232375979112
7,0.3703703703703667,0.6945085012848916,0.9412681620448823,0.5505613737145014,0.49120879120879124,0.9660574412532634
7,0.4074074074074048,0.6977549894577494,0.9423835346010553,0.4121898292291726,0.7304945054945056,0.9242819843342036
7,0.44444444444444287,0.7036688189351675,0.9374205590410295,0.104575903387112,0.813186813186813,0.6279373368146213
7,0.48148148148148096,0.6127750043353338,0.792842089827239,0.0,0.7362637362637363,0.7323759791122715
7,0.518518518518519,0.6661420860985942,0.848683593583636,0.4322105859043306,0.7637362637362637,0.6279373368146213
7,0.5555555555555571,0.6816356083140025,0.8465936596245609,0.41881309557505425,0.7472527472527473,0.6148825065274148
7,0.5925925925925952,0.7203084401458325,0.8711330910459225,0.3701292574771205,0.8736263736263736,0.6409921671018277
7,0.6296296296296333,0.7315530251122794,0.8541702878189854,0.3171619964147561,0.6689560439560438,0.6514360313315923
7,0.6666666666666714,0.7367411641348109,0.857718975918526,0.34333427681856776,0.6813186813186816,0.6540469973890337
7,0.7037037037037095,0.7590866841485517,0.8670470972299531,0.5571280309463157,0.598901098901099,0.6671018276762402
7,0.7407407407407476,0.7615121975316602,0.8397112057120514,0.45372204924992926,0.6722527472527475,0.8629242819843341
7,0.7777777777777857,0.7416265015291998,0.8080286962260733,0.3633361637890367,0.6813186813186816,0.7454308093994775
7,0.8148148148148096,0.8271529764159903,0.8876376404319513,0.14216435512784226,0.8983516483516487,0.6801566579634462
7,0.8518518518518476,0.8978839023420311,0.4445271744280621,0.4078686668553637,0.7637362637362637,0.7127937336814618
7,0.8888888888888857,0.9563239138257569,0.4354436198565268,0.559958486649684,0.8186813186813189,0.6932114882506526
